# coding=utf-82018-07-24 15:18:20,037 Run.py run[line:42] INFO start run testcase...
2018-07-24 15:24:59,484 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.484901
2018-07-24 15:24:59,484 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,484 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,488 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.488901
2018-07-24 15:24:59,488 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,488 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,492 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.492901
2018-07-24 15:24:59,492 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,492 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,496 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.496901
2018-07-24 15:24:59,496 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,496 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,500 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.500902
2018-07-24 15:24:59,500 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,500 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,504 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.504902
2018-07-24 15:24:59,504 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,504 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,510 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.510902
2018-07-24 15:24:59,510 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,510 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,513 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.513902
2018-07-24 15:24:59,513 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,513 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,516 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.516903
2018-07-24 15:24:59,516 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,516 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,519 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.519903
2018-07-24 15:24:59,519 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,520 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,524 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.524903
2018-07-24 15:24:59,524 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,524 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,527 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.527903
2018-07-24 15:24:59,527 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,527 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,530 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.530903
2018-07-24 15:24:59,530 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,530 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,533 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.533904
2018-07-24 15:24:59,533 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,533 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,536 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.536904
2018-07-24 15:24:59,536 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,536 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,539 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.539904
2018-07-24 15:24:59,539 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,539 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,543 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.543904
2018-07-24 15:24:59,543 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,543 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,546 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.546904
2018-07-24 15:24:59,546 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,546 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,550 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.550905
2018-07-24 15:24:59,550 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,550 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,553 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.553905
2018-07-24 15:24:59,553 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,553 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,557 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.557905
2018-07-24 15:24:59,557 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,557 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,560 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.560905
2018-07-24 15:24:59,560 Common.py wait_for_loading_bar_completed[line:87] INFO 超时时间: 0
2018-07-24 15:24:59,560 Common.py loading_view_progress_bar_value[line:63] INFO ==========载入场景 进度条数值==========
2018-07-24 15:24:59,563 Common.py wait_for_loading_bar_completed[line:85] INFO 结束时间: 2018-07-24 15:24:59.563905
